Title,Framework,Hook Score,Why
"5 Morning Habits That MELT Belly Fat","5 (Specific time) Habits That (Achieve Goal)","+6563","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience would love to melt their belly fat. Negativity – This isn’t about habits to get a 6-pack (desire), this is about habits to melt belly fat (pain point). Specific – Making this video specifically about “morning” habits makes this more specific, tangible, and interesting."
"I tested Suit vs No Suit — Do people treat you differently?","I tested (Option A) vs (Option B) — (Is there a different outcome?)","+26000","Credibility – Experiments like this are more persuasive and credible because the creator actually went out and did something (they’re not just preaching their opinion). Curiosity – This builds curiosity two ways: It asks a question.



There’s contrast between suit and no suit."
"How I Took Notes in High School (to get STRAIGHT As)","How I [Activity] ([Proof of credibility])","+552","Desire – This creator’s audience wants to learn how to take better notes and get straight As. Credibility – This creator proves why she’s worth listening to by mentioning that she got straight As."
"8 things I did to stop wasting my evenings after work","8 things I did to stop (Making specific mistake)","+877","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This is about moving away from pain — stopping wasting evenings — as opposed to moving towards pleasure, like being more productive in the evenings."
"15 FORGOTTEN Vegetables Your Grandparents Grew That NEED to Come Back","15 FORGOTTEN (Entities) (Old, respected group) (Activity) That NEED to Come Back","+2429","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Nostalgia – “FORGOTTEN Vegetables Your Grandparents Grew” leverages nostalgia to get you emotionally invested in this video. Curiosity – “FORGOTTEN” adds a little mystery to this title."
"When Helping An Upset Child, Don’t Talk & Try This Instead","When (Solving a problem), Don’t (Logical activity) & Try This Instead","+18","Negativity – This is all about solving a problem. Curiosity – This builds curiosity two ways: It’s counterintuitive because many people might think it’s best to talk.



It opens a loop because it makes you want to know what “this” is. Editor’s picky note: if I was writing this title I’d use “but” instead of “&” because typically “but” adds more conflict and tension than “and,” which makes for a better title."
"5 Makeup Tricks To Look Younger Instantly","5 (Activity) Tricks To (Achieve goal) Instantly","+444","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience loves tricks to look younger. Speed – People love speed and “instantly” adds to the desire here."
"12 Brutal Truths About Women That Men LEARN Too Late!","12 Brutal Truths About (Entity) That (Audience) LEARN Too Late!","+853","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Urgency – Saying men learn these “Too Late” adds a little urgency for you to watch this right now. Negativity – “Brutal” adds some drama and controversy here."
"how i use free AI to create viral UGC tiktok ads.","how i use free (Entity) to (Achieve goal).","+994","Desire – This creator’s audience wants to make viral tiktok ads. Free – Everybody loves free stuff, which adds to the desire. This whole title is about getting a lot (viral ads) for a little (using free AI)."
"How this animation got me a job","How this (Entity) (Helped me achieve a goal)","+3073","Curiosity – This makes you want to see the animation. Desire – Some people in this creator’s audience are looking for jobs or gigs. And there’s outside validation that this animation was really cool. It wasn’t just that he thought it was cool — somebody else thought it was so good they offered him a job."
"I did Duolingo for 2000 days. Can I speak Spanish?","I did (Activity that people assume works) for (Long time frame). Can I (Achieve Goal)?","+1115","Credibility – This isn’t just a review of Duolingo. He shows that he’s used it for a long time, which makes this video more trustworthy. Time Frame – The long time frame of 2,000 days provides credibility and makes this video feel more tangible and specific. Curiosity – This builds curiosity by asking a question."
"How to Get Rich in the New Era of A.I. (2025)","How to [Achieve Goal] in the New Era of [Trend]. ([Current or upcoming year])","+1414","Desire – This creator’s audience would love to get rich in the AI era. Timeliness – This leverages timeliness in two ways: It’s about a trending topic — AI.



It was published in the beginning of the year and drops in the current year to let you know this is relevant right now. New – People love new things, like “the New Era of A.I.” here."
"Priest Answers: If Someone Confesses A Murder, What Do You Do?","(Authority Figure) Answers: If (Difficult situation), What Do You Do?","+1571","Authority – This title leverages authority by dropping “Priest Answers” right in the front. Negativity – People love controversial and conflicting topics like this. Curiosity – This builds curiosity by asking a question."
"5 things I wish I knew before I started watercolor","5 things I wish I knew before I started (Activity)","+1910","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Regret – Regrets like this make for great video topics because they’re such common, powerful emotions."
"Why the Doberman Crushes Every Other Dog Breed","Why (Entity) (Action) Every Other (Entity category)","+945","Extreme – Bold, extreme statements like this often make for great titles on YouTube. Curiosity – Starting this title with “Why” is a simple way to add a little curiosity. Controversial – Some people would disagree with this statement, which often makes for a great YouTube title."
"if you’ve never been in a relationship, watch this (2025)","if you [Are in an undesirable state], watch this ([Current year])","+1660","Negativity & Specific – Calling out a group of people with a specific pain point (like people who’ve never been in a relationship) is a great way to grab your ideal audience’s attention. Timeliness – This video was published at the end of 2024 when 2025 was on everybody’s mind, so dropping “(2025)” at the end of the title also grabs the audience’s attention. Curiosity – “watch this” builds curiosity because it’s vague and open-ended."
"They Said It Couldn’t Be Done… But I Built This DIY Fireplace Anyway!","They Said It Couldn’t Be Done… But I (Action) Anyway!","+2063","Desire – This creator’s audience would love to build a DIY fireplace. Curiosity – There’s a bit of contrast and conflict between “they said it couldn’t be done” and “I built this anyway” that makes you wonder how they did it."
"The REALITY of Tech Jobs in 2025","The REALITY of (Polarizing entity) in (Current or upcoming year)","+8465","Timeliness – This video is about a trending topic, but they double down on that by dropping in the current year to let you know this is about what’s going on right now. Negativity – Since tech jobs are struggling right now, this is a controversial topic that grabs lots of attention. Curiosity – This title is vague and open-ended, which makes you want to know what’s going on with tech jobs."
"Texas Judge Can’t Believe What Was Said In His Courtroom","(Person) Can’t Believe (Vague, open-ended action)","+498","Curiosity – This opens a loop and makes you wonder what was said. Negativity – Since this title says this video takes place in a courtroom, there’s some expected drama here."
"What Actually Is Blue Raspberry?","What Actually Is (Commonly known, but slightly mysterious entity)?","+610","Curiosity – This builds curiosity by asking a question about something that everybody knows of, but nobody actually knows about."
"8 Vaseline Hacks That Will Change Your Life | Dermatologist Tips","8 (Specific tool) Hacks That Will Change Your Life","+1387","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience is into hacks that can change their life. Curiosity – Vaseline is a pretty common, basic item, so the fact that hacks with it can “change your life” builds curiosity because of the contrast and counterintuitiveness. Broadly appealing – Almost everybody has Vaseline lying around the house somewhere, so this is relevant for a large potential audience."
"Top 20 New Technology Trends That Will Define the Future","Top 20 New (Niche) Trends That Will Define the Future","+6572","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – An easy way to build curiosity is to talk about the future. Desire – This creator’s audience is into technology trends. “New” – Everybody loves new things."
"Is singing dead?","Is (Common, popular, or ever-present thing) dead?","+460","Curiosity – This builds curiosity by asking a simple, yet powerful question. It’s also counterintuitive that singing would be dead because it’s such a staple in human history. Negativity – People love to watch videos about controversial takes like this."
"The Shortest NBA Player Is Doing The Impossible","The (Underdog) Is Doing The Impossible","+1344","Curiosity – This title builds curiosity 2 ways: It’s counterintuitive — you wouldn’t expect the shortest NBA player to be doing anything remarkable.



It opens a loop. What is “the impossible”? What’s he actually doing? Epic – “Doing The Impossible” makes this video feel epic and exciting. Extreme – This isn’t about “A Short NBA Player,” it’s about “The Shortest NBA Player.” This title, being extreme, makes the video clearer and more interesting."
"The 4 Methods People Use to Get Rich with Real Estate","The 4 Methods People Use to (Achieve goal) with (Specific opportunity)","+2130","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This channel’s audience would love to get rich with real estate. “Method” – My guess is that “ways”, “tips”, etc. are a little played out, but “methods” is a new way of saying the same thing we know works."
"The Most Insane Camera Ever Made.","The Most Insane (Entity) Ever (Action).","+9752","Epic & Extreme – “The Most Insane” and “Ever Made” both make this video feel epic, extreme, and awesome. And I normally don’t like using periods at the end of titles, but in this case, it adds to the epicness by giving this statement an “End of discussion” feeling. Desire – This creator’s audience wants to learn about amazing cameras."
"How I Became a Millionaire on a 9-5 Salary","How I (Achieved Goal) (With Unexpected Constraint)","+702","Desire – This creator’s audience would love to become millionaires. Refute Objection – Many people might think “You can’t become a millionaire on a 9-5 salary, you have to start a big business or do some shady stuff.” This title refutes that objection. Constraint – Similar to the point above, people might think being on a 9-5 salary is a constraint to becoming a millionaire, which makes this video way more interesting. Resonates with the audience – The audience is probably on a 9-5 salary, they want to become millionaires, but they don’t have much, so the thumbnail text and title both resonate with the audience."
"17 WORST Cars That NO ONE Buys According to Consumer Reports","17 WORST (Entities) That NO ONE (Action) According to (Authority)","+951","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – People love drama and controversy like this. Plus, this sparks the fearful question, “Is my car on this list?” Authority – This leverages the authority of Consumer Reports to be more credible."
"Hitler’s Last Secrets Revealed in Unpublished Archives","(Authority Figure’s) Last (Possession) Revealed in (Secretive source)","+3696","Curiosity – This leverages curiosity in two ways: “Last Secrets Revealed” uses secrecy to build curiosity.



“Unpublished Archives” also makes you feel like you’re getting in on a secret because these archives were “unpublished.” Authority – This leverages the name recognition and notoriety of Hitler. Scarcity – The fact that these are his last secrets makes them feel unique and scarce, which makes this video feel more interesting."
"What Real Estate Agents DON’T Tell You About Living In Maine","What (Authority Figures) DON’T Tell You About (Activity)","+3806","Curiosity & Negativity- “What they DON’T tell you” gives you FOMO and makes you feel like you’re getting in on a secret. Authority – This leverages the authority of Real Estate Agents."
"New Pickleball Rules for 2025 (MUST KNOW)","New [Entities] for [Upcoming Year] (MUST KNOW)","+490","Timeliness – This video was published at the end of 2024 when 2025 was on everybody’s mind. Videos about changes for the new year like this are most powerful between November of the previous year and February or so of the current year. New – Everybody loves new things."
"How Did the Average American Live in Every Decade?","How Did the Average (Entity) (Activity) in Every (Time Period)?","+572","Curiosity – This builds curiosity by asking a question. “Every” – The word “every” gives this video a feeling of epicness and completeness."
"Give Me 9 Minutes, and 2025 Will Be Your Best Year Yet","Give Me (Time Frame), and (You’ll Achieve Goal)","+1322","Time Frame – The time frame of “9 minutes” makes this video feel more tangible and interesting. Timeliness – This was published at the end of 2024 when everybody was excited about the upcoming year. It’s a time when people are planning for and getting excited about the future. Desire – This creator’s audience would love to have their best year yet. Curiosity – This title builds curiosity because it promises a big benefit, but is vague about what you’ll get from watching this video and how you’ll get it."
"Bought 22 Rental Units and Now I Regret It. Here’s Why…","(Aspirational Action) and Now I Regret It. Here’s Why…","+19901","Credibility – This isn’t just theory — she actually bought 22 rental units, which answers the question, “why should I listen to you?” Negativity – Regret is such a powerful negative emotion people want to avoid, so this grabs attention. Curiosity – “Here’s Why…” adds some curiosity at the end and makes you want to know why."
"This tent will change backpacking","This (Entity) will change (Niche)","+842","Curiosity – This builds curiosity because it opens up so many questions: what tent is this?



what will change?



will I like the change?"
"20 Celebrities You Didn’t Know Were On The Andy Griffith Show","20 (Attractive or interesting entities) You Didn’t Know (Action)","+1169","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – “You Didn’t Know” makes you feel like you’re getting in on a secret. Interest – This creator’s audience is interested in celebrities and the Andy Griffith Show, which gets them excited about this video."
"Why living in Canada has become Impossible","Why (Common thing) has become Impossible","+1189","Negativity – This is all about a problem and controversy, which grabs people’s attention. Confirms Suspicions – Some people are already thinking this to themselves, so this title resonates with that feeling."
"The Best 25 Minute Exercise Routine For Seniors Over 60","The Best (Time frame) (Action) For (Specific audience)","+1702","Desire – This creator’s audience wants exercise routines. Time Frame – Specifying this exercise routine is 25 minutes makes this video more tangible and desirable. Specific Audience – Calling out “Seniors Over 60” makes it clear who this video is for and makes them more likely to click."
"Why do Studios Ignore Blender?","Why do (Authority figures) Ignore (Popular solution)?","+630","Authority – “Studios” are big authority figures in the VFX world. Negativity – This is about drama and controversy — studios ignoring a popular software. Curiosity – This builds curiosity by asking a question."
"Valorant just got the CRAZIEST Update in History!","(Entity) just got the CRAZIEST Update in History!","+684","News – This title is news and people love news. Epic & Extreme – “CRAZIEST Update in History” feels epic, extreme, and exciting. Curiosity – This also builds curiosity because it makes you want to know what the update is."
"What staying up all night does to your brain – Anna Rothschild","What (Common, innocent mistake) does to your (Possession)","+811","Negativity – This hints that something many people do might be causing a problem. Tangible – “What staying up all night does to your brain” feels more tangible and specific than just, “What staying up all night does to you.” This builds more curiosity and makes this title more interesting."
"If You FEEL Time Slips Away, Watch This!","If You (Experience Problem), Watch This!","+9851","Negativity – This is about a problem many people have. Curiosity – This implies that this video is a solution for people who feel time slips away, but doesn’t say anything about the actual solution, so you’ve gotta click to see what it is. Being vague like this can backfire, but the thumbnail text mentions a benefit and the problem presented in the tile (feeling time slip away) is such a common and tangible problem that this title gets away with it."
"Could this new material replace plastic?","Could this new (Entity) replace (Existing, problematic entity)?","+516","New – People love new things. Curiosity – This builds curiosity by asking a question."
"I Tried a 1-Star Cruise","I Tried a (Poorly-rated entity)","+588","Negativity & Curiosity – The tension of trying a 1-star thing is so intriguing because people want to see what happened and how bad it turned out."
"You’re Not Behind: Why Everyone SEEMS To Have More Money Than You","You’re Not (Undesirable State): Why Everyone SEEMS To (Be in a better position) Than You","+738","Negativity – This is all about a pain point: feeling like everyone has more money than you. Status – This is also about your status and how wealthy you are compared to everyone else."
"If You’re Creative But Lazy Please Watch This","If You’re (Positive Attribute) But (Undesirable Attribute) Please Watch This","+2072","Specific Audience – If you identify as creative, but lazy (which is a lot of us), this title makes you feel like this video was made specifically for you, so you’re more likely to watch it. Negativity – Most people don’t want to be lazy, so this calls out a pain point and grabs your attention. Curiosity – This title is a cliffhanger. You know who it’s for and what problem it addresses, but nothing else, which piques your curiosity."
"The future of social media | 2025 trends you NEED to know","The future of (Niche) | (Upcoming or current year) trends you NEED to know","+1080","Curiosity & Desire – Everybody wants to know what the future holds, but nobody actually knows, so the future is such a great topic because its full of curiosity and desire. Timeliness – This video was published at the end of 2024, when 2025 was on everybody’s mind."
"If You Hear a Pastor SKIP This Verse… RUN!! (Here’s What They Are Hiding)","If You Hear a (Authority Figure) (Avoid Entity)… RUN!! (Here’s What They Are Hiding)","+2403","Curiosity – This opens a loop and makes you want to know what “this verse” is. Negativity – This has lots of drama and conspiracy, which people love."
"One Trick to Draw Everyday with Ease","One Trick to (Desirable, but sometimes difficult activity) Everyday with Ease","+3150","Desire – This creator’s audience would love to easily draw every day. Curiosity – This opens a loop and makes you want to know what the “one trick” is. Daily – There’s something about doing an activity every day that’s exciting. It’s tangible and aspirational, so talking about doing things every day can be great to use in titles."
"Why Studying Less will Give You an UNFAIR ADVANTAGE","Why (Counterintuitive Statement)","+3443","Curiosity – This is counterintuitive. How can studying less give you an advantage? Desire – This leverages desire in two ways: Everybody would love to study less.



Everybody wants an unfair advantage."
"I Stopped Killing Aloe Vera Once I Knew This","I Stopped (Unwanted Accident) Once I Knew This","+645","Negativity – This is all about stopping an accidental problem. Curiosity – This opens a loop and makes you want to know what “this” is. Desire – This creator’s audience would love to stop killing their aloe vera."
"The 8 AI Skills That Will Separate Winners From Losers in 2025","The (Number) (Niche) Skills That Will Separate Winners From Losers in (Current Year)","+795","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Status – This is about status: are you a winner or loser? Timeliness – This video was published at the end of 2024 when 2025 was on everybody’s mind. Desire – This creator’s audience loves AI and wants to get better at using it."
"Psychopathic Stalker Goes Before the Wrong Judge","(Polarizing Entity) (Action) the Wrong (Entity)","+1478","Curiosity – This title does a great job of starting a story to grab your attention. It’s a cliffhanger that uses tension and almost forces you to click because you’ve got to see what happens. Negativity – “Psychopathic Stalker” and “Wrong Judge” bring some drama and conflict to get you interested in this video."
"A notebook to replace doomscrolling","A (Object) to replace (Problem)","+8320","Negativity – “doomscrolling” is a problem that many people in this audience resonate with. Desire – This creator’s audience would love to stop doomscrolling by using something more wholesome, like this notebook."
"Career Advice For A World After AI","(Niche) Advice For A World After (World Changing Event or Technology)","+387","Desire – This creator’s audience wants career advice. Timeliness – This is about a current issue: AI disrupting the job market. Negativity – Calling out problems, like AI disrupting the job market, is a great way to grab your audience’s attention and interest."
"You are absolutely fluent in English if you can understand these","You are absolutely (State of achievement) if you can (Action)","+465","Desire – This creator’s audience wants to be fluent. Curiosity – This opens a loop and makes you wonder what “these” are."
"How To Train Yourself To Become A Genius","How To Train Yourself To (Achieve Goal)","+505","Desire – Almost everybody wants to become a genius, but this is a more fun, new, tangible way of saying it."
"Tech that Died in 2024","(Entities) that Died in (Year that just ended)","+1868","Negativity – This isn’t about the best tech of 2024. It’s about tech that died, and people love drama like this. Timeliness – This video was published at the end of 2024, so it’s relevant right now. Curiosity – This makes you wonder what this tech is."
"Why Did LEGENDARY Guitarists Do This?","Why Did LEGENDARY (Professionals) Do This?","+714","Authority – This video has credibility because it’s about what the legendary guitarists did. Curiosity – This builds curiosity by asking a question."
"7 Cybersecurity Tips NOBODY Tells You (but are EASY to do)","7 [Niche or Activity] Tips NOBODY Tells You (but are EASY to do)","+1006","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – “NOBODY Tells You” makes you feel like you’re getting in on a secret. Desire – This creator’s audience wants cybersecurity tips and the “(but are EASY to do)” bit at the end makes these tips even more desirable."
"The Dog Breeds I HATE To Work With As A Dog Trainer!","The (Entities) I HATE To (Activity) As A (Professional)!","+1432","Authority – The fact that he’s a dog trainer makes his opinion and this video more credible. Curiosity – This makes you wonder what dog breeds he’s talking about (and what dog breeds you shouldn’t get — or if your dog is on this list). Negativity – People love juicy drama and negativity like this."
"5 MUST-TRY Crochet Sweater Patterns for Beginners!","5 MUST-TRY (Activities) for Beginners!","+1560","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience is into crochet sweater patterns. Beginners – Calling out beginners in your titles is so powerful because they’re the biggest, most eager-to-learn part of any audience."
"ADHD Is a Curse… Until You Learn This","(Problem) Is (Negative Description)… Until You Learn This","+385","Curiosity – This opens a loop and makes you wonder what “This” is. Negativity – Calling out ADHD and saying it’s a curse grabs people’s attention."
"These types of women ALWAYS cheat on their men","These types of (Entities) ALWAYS (Negative Action)","+915","Curiosity – This title makes you wonder what types of women these are. Negativity – Nobody wants to be cheated on, so this leverages fear, pain, and insecurity to grab your attention and get you to click."
"3 Reasons Why Your Net Worth Explodes After 100K","3 Reasons Why Your (Possession) (Desirable Change) After (Big Milestone)","+1027","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add curiosity. Desire – This speaks to two exciting desires for this creator’s audience: saving $100K and exploding their net worth."
"The THREE Most Dangerous People We Will Encounter","The THREE Most Dangerous (Entities) We Will Encounter","+4730","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add curiosity. Curiosity – This makes you wonder what or who these dangerous people are. Negativity – This leverages fear to grab your attention and get you to click."
"The CHEAPEST Porsche Models You Can AFFORD! (that will go UP in value!)","The CHEAPEST [Desirable, Expensive Entities] You Can AFFORD! (that will go UP in value!)","+695","Desire – This creator’s audience would love to afford a Porsche, and the fact that they’ll go up in value adds to that desire. Large Potential Audience – Since this is about the “cheapest” Porsches, it attracts a large potential audience."
"10 Mistakes That Make Your Kitchen Look CHEAP","10 Mistakes That (Cause Unwanted Result)","+1279","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Nobody wants to make mistakes and nobody wants a cheap-looking kitchen, so people have to click on this video to avoid those things."
"Why Men Stopped Wearing Suspenders","Why (Group) Stopped (Popular Thing)","+2042","Curiosity – Stopping doing something popular or common is a great way to build curiosity because it’s counterintuitive. Why would people stop doing something popular or common?"
"7 key things to do AFTER uploading your YouTube video","(Number) key things to do AFTER (Important Activity)","+3135","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to grow their channel and wants to know what to do after uploading videos. Curiosity – Since uploading a video is so important for us creators, this builds a lot of curiosity."
"Astonishing Historical Events that Aren’t Taught in Schools","(Epic Entities) that Aren’t Taught in Schools","+342","Epic – “Astonishing Historial Events” gives this video an epic feeling. Curiosity – “that Aren’t Taught in Schools” brings some secrecy and FOMO. This makes you wonder what the events are and why they aren’t taught in schools."
"My 10 Greatest Air Fryer Recipes of All Time","My 10 Greatest (Entities) of All Time","+474","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Epic – “Greatest of All Time” gives this video an epic feeling. Desire – This creator’s audience loves air fryer recipes."
"Firearms Expert Reacts To S.T.A.L.K.E.R. Franchise Guns","(Niche) Expert Reacts To (Trending Entity)","+511","Authority – People love hearing expert opinions on what they’re working on or are interested in. Timeliness – This video was published right around the time another S.T.A.L.K.E.R. game was released."
"3 Simple Moves to Firm Your Butt and Legs","3 Simple (Activities) to (Achieve Goal)","+1157","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This leverages desire two ways: This creator’s audience wants to firm their butt and legs.



People love short lists of simple things."
"#1 Rule For Calling Deer","#1 Rule For (Activity or Goal)","+575","Desire – This creator’s audience wants to know how to call deer. Curiosity – This opens a loop and makes you wonder what the #1 rule is."
"How This Supplement Is Changing the Sport of Running","How This (Controversial Entity) Is Changing (Industry)","+780","Curiosity – This title opens two loops: “This Supplement” is open-ended and makes you want to know what the supplement is.



“Changing” is also open-ended. What’s changing about it? Negativity – There’s a hint of controversy here since typically people don’t like supplements changing their sport, and the thumbnail text in red supports the thought that this is a negative change."
"When Tennis turns into WAR! (Federer vs Medvedev)","When [Entity] turns into WAR! ([Authority Figure] vs [Authority Figure])","+889","Epic – Describing a tennis match as turning into “WAR” makes this feel way more epic and exciting. Negativity – This title brings a lot of conflict, which people love. Authority – Federer and Medvedev grab attention here because they’re both popular tennis players."
"10 things people with Clean Homes do DAILY | Clean Home Habits","10 things people with (Desirable Possession) do DAILY | (Desirable Possession) Habits","+2926","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants a clean home. Authority – This leverages the authority of “people with Clean Homes”. Daily – Doing something daily makes it feel more tangible and interesting."
"If I Wanted to Go From $0 to $1M in 12 Months, Here’s What I’d Do","If I Wanted to Go From (Starting Point) to (End Goal) in (Relatively Short Time Frame), Here’s What I’d Do","+423","Desire – This creator’s audience would love to go from $0 to $1M in 12 months. Beginners – “Going From $0” insinuates this video is for beginners, which attracts the biggest, hungriest group in any audience. Time Frame – The time frame of “in 12 months” makes this video more tangible and interesting. Plus, since it’s relatively short, it increases desire, too. Curiosity – This ends by opening a loop and making you want to know what he’d do."
"7 Signs That Someone Dislikes You and is Hiding it | STOIC PHILOSOPHY","7 Signs (Negative Occurance) (Concealing Action)","+2188","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This is all about drama, which people love. Curiosity – “and is Hiding it” makes you feel like there’s some secrecy going on."
"iOS 18.1 Settings To Turn OFF Now! (Important!)","[Entity] Settings To Turn OFF NOW! (Important)","+2400","Negativity – This video warning viewers about turning settings off has 3.4M views, while the video about turning settings on from the same channel only has 471K views. Turning settings off brings fear of what might happen if you don’t turn them off, instead of turning them on and thinking about the benefits you’d get from them. Curiosity – This title is vague and open-ended, which builds curiosity about what the settings are and what could happen if you don’t turn them off. Timeliness – iOS 18.1 was just released, so people are thinking about this topic right now."
"This Stupid TRICK Helped Me Play In Every Key On Guitar","This Stupid TRICK Helped Me (Achieve Goal)","+3513","Desire – This creator’s audience would love to be able to play every key on guitar. And note that this isn’t just about getting better at guitar. It’s a specific desire, and the word “Every” gives it an almost epic feeling. Curiosity – This builds curiosity in two ways: It opens a loop and makes you want to know what the trick is.



It’s counterintuitive that a “stupid” trick would help you do something awesome. Negativity – This isn’t about a cool trick, it’s about a “stupid” trick, which grabs attention."
"How I Gained 50,000 Followers In 1 Month (9 Easy Steps)","How I [Achieved Goal] In [Short Time Frame] ([Number] Easy Steps)","+753","Desire – This creator’s audience would love to get 50,000 followers in 1 month. Plus, “9 Easy Steps” adds to the desire by making it sound easy. Time Frame – The short time frame of “In 1 Month” also adds to the desire and makes this video feel more tangible and interesting. Credibility – This isn’t just a “how to” video, this is a “how I” video, which makes it feel more credible."
"An Ancient Roman Shipwreck May Explain the Universe","An (Obscure Entity) May Explain (Bigger Entity)","+1433","Curiosity – This builds curiosity because it’s counterintuitive that something seemingly meaningless, like an ancient Roman shipwreck, can do something so meaningful, like explain the universe. Epic – Explaining the entire universe is pretty epic."
"4 Nuts You Should Be Eating And 4 You Shouldn’t","(Number) (Entities) You Should Be (Activity) And (Number) You Shouldn’t","+3399","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire & Negativity – This covers both ends of the spectrum with nuts you should and shouldn’t eat. Curiosity – These two lists of nuts you should and shouldn’t eat do a great job of building curiosity because you’ve gotta click to find out what the nuts are. Note: I typically don’t like using the word “and” in titles because it dilutes the focus, but here’s a great example of that being a preference, not a rule."
"Why is EVERYONE Leaving Florida? (WHAT’S REALLY GOING ON?)","Why is EVERYONE (Negative Action)? (WHAT’S REALLY GOING ON?)","+16349","Negativity – This controversial topic does a great job of grabbing the audience’s attention. Curiosity – This question builds curiosity, and “WHAT’S REALLY GOING ON?” adds a bit of secrecy and conspiracy."
"The Frightening Pagan History of Halloween | Full Special","The Frightening (Negative Description) History of (Trending Entity)","+800","Timeliness – This video was published 9 days before Halloween. Negativity – This title could’ve been, “The History of Halloween,” but adding some fear and controversy with “Frightening Pagan” makes this title way more interesting. Hint: if you’re reading this now, you may want to consider doing a similar video for the next few holidays coming up."
"The Cruise Rip-Offs Experts NEVER Pay For on a Cruise","The (Niche) Rip-Offs Experts NEVER Pay For (in Specific Situation)","+812","Negativity – “Rip-Offs” are a controversial topic that do a great job of grabbing the audience’s attention. Authority – This leverages the credibility of “Experts” to make this video more desirable and interesting. Curiosity – This opens a loop and makes you want to know what the rip-offs are."
"The Blueprint to Make $$$ on YouTube from Day 1","The Blueprint to (Achieve Goal) from Day 1","+2443","Desire – This creator’s audience would love to make money on YouTube from Day 1. Beginners – This attracts beginners, the biggest part of any audience, because it’s about “Day 1”. Refute Objection – A lot of people think it takes a lot of time to make money on YouTube, but this title refutes that objection and says you’ll learn how to make money from day 1."
"I paid 5 designers on Fiverr to create a cover for the same book","I paid 5 (People who do activity) on Fiverr to create a (Entity) for the same (Entity)","+7397","Credibility – This title is great because it shows she actually did something interesting, instead of just sharing her thoughts on something. Curiosity – This does a great job at starting a story, but not finishing it, so you’ve gotta click to find out how the designs turned out."
"The New Approach to Personal Branding That Changes Everything","The New Approach to (Activity) That Changes Everything","+649","Desire – This creator’s audience is into personal branding. Curiosity – This builds curiosity two ways: It makes you wonder what the new approach is.



“Changes Everything” is open-ended and makes you wonder what will change. New Opportunity – People love new opportunities like new approaches because they offer hope."
"The Side of China The Media Won’t Show You","The Side of (Polarizing Topic) The Media Won’t Show You","+1020","Conspiracy & Curiosity – “The Media Won’t Show You” adds some conspiracy and makes you feel like you’re getting in on a secret. And China is polarizing, which also grabs attention. If this was “The Side of (Unheard of Country) The Media Won’t Show You,” nobody would care."
"Tax Expert Breaks Down Kamala Harris’s Tax Plan (FULL DETAILS)","(Industry Professional) Breaks Down (Trending Authority Figure’s) (Relevant Entity)","+2881","Timeliness – This video was published a few weeks before the election and does a great job of riding the election’s popularity (and polarity). Authority – Since this creator is a tax expert, he has authority regarding tax plans, so you want to hear what he has to say about this topic. Negativity – The thumbnail makes it clear there’s some controversy in this video."
"How to STUDY so FAST that it feels ILLEGAL","How to (Action or Goal) so FAST that it feels ILLEGAL","+4072","Desire – This creator’s audience wants to study fast. Speed – Adding speed (in this case, “study so FAST“) is a great way to enhance your audience’s desire and interest in your video’s topic. Negativity – “feels ILLEGAL” adds a bit of controversy and an edge to this video that makes it feel more exciting."
"Weeds Are the Answer to Your Garden Problems!","(Unwanted Entities) Are the Answer to Your (Entity) Problems!","+500","Curiosity – This is counterintuitive because most people think weeds ARE the garden problems, not the answer to them."
